rank,finalWorth,category,personName,country,city,source,industries,organization,selfMade,status,gender,lastName,firstName,title,date,countryOfCitizenship,state,residenceStateRegion,birthYear,birthMonth,birthDay,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,latitude_country,longitude_country
11,80500,Fashion & Retail,Francoise Bettencourt Meyers & family,France,Paris,L'Oréal,Fashion & Retail,,FALSE,U,F,Bettencourt Meyers,Francoise,,04-04-2023 05:01,France,,,1953,7,10,110.05,1.1,"$2,715,518,274,227 ",65.6,102.5,82.5,24.2,60.7,67059887,46.227638,2.213749
12,79200,Technology,Larry Page,United States,Palo Alto,Google,Technology,Alphabet,TRUE,D,M,Page,Larry,Cofounder and board member,04-04-2023 05:01,United States,California,West,1973,3,26,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
13,77300,Fashion & Retail,Amancio Ortega,Spain,La Coruna,Zara,Fashion & Retail,,TRUE,U,M,Ortega,Amancio,,04-04-2023 05:01,Spain,,,1936,3,28,110.96,0.7,"$1,394,116,310,769 ",88.9,102.7,83.3,14.2,47,47076781,40.463667,-3.74922
14,76000,Technology,Sergey Brin,United States,Los Altos,Google,Technology,Alphabet,TRUE,D,M,Brin,Sergey,Cofounder and board member,04-04-2023 05:01,United States,California,West,1973,8,21,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
15,68000,Food & Beverage,Zhong Shanshan,China,Hangzhou,"Beverages, pharmaceuticals",Food & Beverage,,TRUE,U,M,Zhong,Shanshan,,04-04-2023 05:01,China,,,1954,12,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
16,64400,Technology,Mark Zuckerberg,United States,Palo Alto,Facebook,Technology,Meta Platforms,TRUE,D,M,Zuckerberg,Mark,Cofounder,04-04-2023 05:01,United States,California,West,1984,5,14,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
17,59000,Diversified,Charles Koch & family,United States,Wichita,Koch Industries,Diversified,"Koch Industries, Inc.",FALSE,D,M,Koch,Charles,Chairman and CEO,04-04-2023 05:01,United States,Kansas,Midwest,1935,11,1,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
17,59000,Diversified,Julia Koch & family,United States,New York,Koch Industries,Diversified,,FALSE,D,Female,Koch,Julia,,04-04-2023 05:01,United States,New York,Northeast,1962,4,12,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
19,58800,Fashion & Retail,Jim Walton,United States,Bentonville,Walmart,Fashion & Retail,"Arvest Bank Group, Inc.",FALSE,D,M,Walton,Jim,Chairman and CEO,04-04-2023 05:01,United States,Arkansas,South,1948,6,7,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
20,57600,Fashion & Retail,Rob Walton & family,United States,Bentonville,Walmart,Fashion & Retail,Walmart,FALSE,D,M,Walton,Rob,Director,04-04-2023 05:01,United States,Arkansas,South,1944,10,27,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
21,56700,Fashion & Retail,Alice Walton,United States,Fort Worth,Walmart,Fashion & Retail,Crystal Bridges Museum of American Art,FALSE,D,F,Walton,Alice,Philanthropist,04-04-2023 05:01,United States,Texas,South,1949,10,7,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
22,54400,Media & Entertainment,David Thomson & family,Canada,Toronto,Media,Media & Entertainment,Thomson Reuters Corporation,FALSE,U,male,Thomson,David,Chairman,04-04-2023 05:01,Canada,,,1957,6,12,116.76,1.9,"$1,736,425,629,520 ",68.9,100.9,81.9,12.8,24.5,36991981,56.130366,-106.346771
23,50100,Technology,Michael Dell,United States,Austin,Dell Technologies,Technology,Dell Inc.,TRUE,D,M,Dell,Michael,Chairman and CEO,04-04-2023 05:01,United States,Texas,South,1965,2,23,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
24,47200,Diversified,Gautam Adani,India,Ahmedabad,"Infrastructure, commodities",Diversified,,TRUE,D,M,Adani,Gautam,,04-04-2023 05:01,India,,,1962,6,24,180.44,7.7,"$2,611,000,000,000 ",28.1,113,69.4,11.2,49.7,1366417754,20.593684,78.96288
25,45100,Fashion & Retail,Phil Knight & family,United States,Hillsboro,Nike,Fashion & Retail,Nike,TRUE,D,M,Knight,Phil,Chairman,04-04-2023 05:01,United States,Oregon,West,1938,2,24,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
26,45000,Technology,Zhang Yiming,China,Beijing,TikTok,Technology,ByteDance,TRUE,D,M,Zhang,Yiming,Founder,04-04-2023 05:01,China,,,1984,1,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
27,42900,Fashion & Retail,Dieter Schwarz,Germany,Neckarsulm,Retail,Fashion & Retail,,FALSE,D,M,Schwarz,Dieter,,04-04-2023 05:01,Germany,,,1939,9,24,112.85,1.4,"$3,845,630,030,824 ",70.2,104,80.9,11.5,48.8,83132799,51.165691,10.451526
28,40100,Fashion & Retail,François Pinault & family,France,Paris,Luxury goods,Fashion & Retail,,TRUE,D,M,Pinault,François,,04-04-2023 05:01,France,,,1936,8,21,110.05,1.1,"$2,715,518,274,227 ",65.6,102.5,82.5,24.2,60.7,67059887,46.227638,2.213749
29,39100,Logistics,Klaus-Michael Kuehne,Switzerland,Schindellegi,Shipping,Logistics,,FALSE,U,M,Kuehne,Klaus-Michael,,04-04-2023 05:01,Germany,,,1937,6,2,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832,46.818188,8.227512
30,38900,Food & Beverage,Giovanni Ferrero,Belgium,Brussels,"Nutella, chocolates",Food & Beverage,,FALSE,U,M,Ferrero,Giovanni,,04-04-2023 05:01,Italy,,,1964,9,21,117.11,1.4,"$529,606,710,418 ",79.7,103.9,81.6,24,55.4,11484055,50.503887,4.469936
31,38300,Food & Beverage,Jacqueline Mars,United States,The Plains,"Candy, pet food",Food & Beverage,,FALSE,U,F,Mars,Jacqueline,,04-04-2023 05:01,United States,Virginia,South,1939,10,10,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
31,38300,Food & Beverage,John Mars,United States,Jackson,"Candy, pet food",Food & Beverage,,FALSE,U,M,Mars,John,,04-04-2023 05:01,United States,Wyoming,South,1935,10,15,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
33,38000,Diversified,Li Ka-shing,Hong Kong,,Diversified,Diversified,CK Hutchison Holdings,TRUE,U,M,Li,Ka-shing,Senior Advisor,04-04-2023 05:01,Hong Kong,,,1928,6,13,,,,,,,,,,,
34,35300,Technology,Ma Huateng,China,Shenzhen,Internet media,Technology,Tencent Holdings,TRUE,D,M,Ma,Huateng,Chairman and CEO,04-04-2023 05:01,China,,,1971,10,29,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
35,35000,Gambling & Casinos,Miriam Adelson & family,United States,Las Vegas,Casinos,Gambling & Casinos,,FALSE,U,F,Adelson,Miriam,,04-04-2023 05:01,United States,Nevada,West,1945,10,10,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
35,35000,Finance & Investments,Ken Griffin,United States,Miami,Hedge funds,Finance & Investments,Citadel LLC,TRUE,U,M,Griffin,Ken,Founder & CEO,04-04-2023 05:01,United States,Florida,South,1968,10,15,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
37,34700,Food & Beverage,Mark Mateschitz,Austria,Salzburg,Red Bull,Food & Beverage,,FALSE,N,M,Mateschitz,Mark,,04-04-2023 05:01,Austria,,,1992,5,7,118.06,1.5,"$446,314,739,528 ",85.1,103.1,81.6,25.4,51.4,8877067,47.516231,14.550072
38,33400,Automotive,Robin Zeng,China,Ningde,Batteries,Automotive,,TRUE,D,M,Zeng,Robin,,04-04-2023 05:01,Hong Kong,,,1969,1,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
39,32600,Fashion & Retail,Tadashi Yanai & family,Japan,Tokyo,Fashion retail,Fashion & Retail,,TRUE,U,M,Yanai,Tadashi,,04-04-2023 05:01,Japan,,,1949,2,7,105.48,0.5,"$5,081,769,542,380 ",63.2,98.8,84.2,11.9,46.7,126226568,36.204824,138.252924
40,32100,Diversified,Len Blavatnik,United Kingdom,London,"Music, chemicals",Diversified,,TRUE,D,M,Blavatnik,Len,,04-04-2023 05:01,United States,,,1957,6,1,119.62,1.7,"$2,827,113,184,696 ",60,101.2,81.3,25.5,30.6,66834405,55.378051,-3.435973
41,31600,Fashion & Retail,Alain Wertheimer,United States,New York,Chanel,Fashion & Retail,,FALSE,U,M,Wertheimer,Alain,,04-04-2023 05:01,France,New York,Northeast,1948,8,28,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
41,31600,Fashion & Retail,Gerard Wertheimer,United States,New York,Chanel,Fashion & Retail,,FALSE,U,M,Wertheimer,Gerard,,04-04-2023 05:01,France,New York,Northeast,1951,1,9,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
43,31200,Logistics,Gianluigi Aponte,Switzerland,Geneva,Shipping,Logistics,,TRUE,Split Family Fortune,M,Aponte,Gianluigi,,04-04-2023 05:01,Switzerland,,,1940,6,27,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832,46.818188,8.227512
43,31200,Logistics,Rafaela Aponte-Diamant,Switzerland,Geneva,Shipping,Logistics,,TRUE,Split Family Fortune,F,Aponte-Diamant,Rafaela,,04-04-2023 05:01,Switzerland,,,1945,3,26,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832,46.818188,8.227512
45,30200,Technology,Colin Zheng Huang,China,Shanghai,E-commerce,Technology,,TRUE,U,M,Huang,Colin Zheng,,04-04-2023 05:01,China,,,1980,2,2,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
46,29700,Manufacturing,Reinhold Wuerth & family,Germany,Kuenzelsau,Fasteners,Manufacturing,,TRUE,U,M,Wuerth,Reinhold,,04-04-2023 05:01,Germany,,,1935,4,20,112.85,1.4,"$3,845,630,030,824 ",70.2,104,80.9,11.5,48.8,83132799,51.165691,10.451526
47,29500,Real Estate,Lee Shau Kee,Hong Kong,Hong Kong,Real estate,Real Estate,,TRUE,D,M,Lee,Shau Kee,,04-04-2023 05:01,Hong Kong,,,1928,1,29,,,,,,,,,,,
48,28500,Finance & Investments,Jeff Yass,United States,Haverford,"Trading, investments",Finance & Investments,,TRUE,U,M,Yass,Jeff,,04-04-2023 05:01,United States,Pennsylvania,Northeast,1958,7,17,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
49,28100,Finance & Investments,Jim Simons,United States,East Setauket,Hedge funds,Finance & Investments,Renaissance Technologies Corp.,TRUE,D,M,Simons,Jim,Founder,04-04-2023 05:01,United States,New York,Northeast,1938,4,25,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
50,27800,Finance & Investments,Stephen Schwarzman,United States,New York,Investments,Finance & Investments,Blackstone Group,TRUE,D,M,Schwarzman,Stephen,Chairman and CEO,04-04-2023 05:01,United States,New York,Northeast,1947,2,14,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
51,27400,Automotive,Susanne Klatten,Germany,Bad Homburg,"BMW, pharmaceuticals",Automotive,,FALSE,U,F,Klatten,Susanne,,04-04-2023 05:01,Germany,,,1962,4,28,112.85,1.4,"$3,845,630,030,824 ",70.2,104,80.9,11.5,48.8,83132799,51.165691,10.451526
52,27000,Metals & Mining,Gina Rinehart,Australia,Perth,Mining,Metals & Mining,Hancock Prospecting,FALSE,D,F,Rinehart,Gina,Executive Chairman,04-04-2023 05:01,Australia,,,1954,2,9,119.8,1.6,"$1,392,680,589,329 ",113.1,100.3,82.7,23,47.4,25766605,-25.274398,133.775136
53,26700,Technology,William Ding,China,Hangzhou,Online games,Technology,,TRUE,U,M,Ding,William,,04-04-2023 05:01,China,,,1971,10,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
54,26600,Metals & Mining,Germán Larrea Mota Velasco & family,Mexico,Mexico City,Mining,Metals & Mining,,FALSE,D,M,Larrea Mota Velasco,Germán,,04-04-2023 05:01,Mexico,,,1953,10,26,141.54,3.6,"$1,258,286,717,125 ",40.2,105.8,75,13.1,55.1,126014024,23.634501,-102.552784
55,25600,Technology,Shiv Nadar,India,Delhi,software services,Technology,,TRUE,D,M,Nadar,Shiv,,04-04-2023 05:01,India,,,1945,7,18,180.44,7.7,"$2,611,000,000,000 ",28.1,113,69.4,11.2,49.7,1366417754,20.593684,78.96288
56,25500,Energy,Low Tuck Kwong,Indonesia,Jakarta,Coal,Energy,,TRUE,U,M,Low Tuck,Kwong,,04-04-2023 05:01,Indonesia,,,1948,4,17,151.18,3,"$1,119,190,780,753 ",36.3,106.4,71.5,10.2,30.1,270203917,-0.789275,113.921327
57,25300,Finance & Investments,Thomas Peterffy,United States,Palm Beach,Discount brokerage,Finance & Investments,,TRUE,U,M,Peterffy,Thomas,,04-04-2023 05:01,United States,Florida,South,1944,9,30,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
58,25200,Metals & Mining,Andrey Melnichenko & family,United Arab Emirates,Ras Al Khaimah,"Fertilizers, coal",Metals & Mining,,TRUE,U,M,Melnichenko,Andrey,,04-04-2023 05:01,Russia,,,1972,3,8,114.52,-1.9,"$421,142,267,938 ",36.8,108.4,77.8,0.1,15.9,9770529,23.424076,53.847818
59,24600,Automotive,Stefan Quandt,Germany,Frankfurt,BMW,Automotive,,FALSE,U,M,Quandt,Stefan,,04-04-2023 05:01,Germany,,,1966,5,9,112.85,1.4,"$3,845,630,030,824 ",70.2,104,80.9,11.5,48.8,83132799,51.165691,10.451526
60,24400,Technology,MacKenzie Scott,United States,Seattle,Amazon,Technology,,FALSE,D,F,Scott,MacKenzie,Philanthropist,04-04-2023 05:01,United States,Washington,West,1970,4,7,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
61,24200,Finance & Investments,R. Budi Hartono,Indonesia,Kudus,"Banking, tobacco",Finance & Investments,,FALSE,U,M,Hartono,R. Budi,,04-04-2023 05:01,Indonesia,,,1941,1,1,151.18,3,"$1,119,190,780,753 ",36.3,106.4,71.5,10.2,30.1,270203917,-0.789275,113.921327
62,23700,Metals & Mining,Vladimir Potanin,Russia,Moscow,Metals,Metals & Mining,,TRUE,U,M,Potanin,Vladimir,,04-04-2023 05:01,Russia,,,1961,1,3,180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,11.4,46.2,144373535,61.52401,105.318756
63,23500,Technology,Jack Ma,China,Hangzhou,E-commerce,Technology,,TRUE,U,M,Ma,Jack,,04-04-2023 05:01,China,,,1964,9,10,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
64,23400,Manufacturing,He Xiangjian & family,China,Foshan,Home appliances,Manufacturing,,TRUE,D,M,He,Xiangjian,,04-04-2023 05:01,China,,,1942,8,11,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
65,23100,Metals & Mining,Iris Fontbona & family,Chile,Santiago,Mining,Metals & Mining,,FALSE,U,F,Fontbona,Iris,,04-04-2023 05:01,Chile,,,1943,1,1,131.91,2.6,"$282,318,159,745 ",88.5,101.4,80,18.2,34,18952038,-35.675147,-71.542969
65,23100,Manufacturing,Michael Hartono,Indonesia,Kudus,"Banking, tobacco",Manufacturing,,FALSE,U,M,Hartono,Michael,,04-04-2023 05:01,Indonesia,,,1939,10,2,151.18,3,"$1,119,190,780,753 ",36.3,106.4,71.5,10.2,30.1,270203917,-0.789275,113.921327
67,22900,Manufacturing,James Ratcliffe,United Kingdom,London,Chemicals,Manufacturing,,TRUE,U,M,Ratcliffe,James,,04-04-2023 05:01,United Kingdom,,,1953,1,1,119.62,1.7,"$2,827,113,184,696 ",60,101.2,81.3,25.5,30.6,66834405,55.378051,-3.435973
68,22600,Healthcare,Cyrus Poonawalla,India,Pune,Vaccines,Healthcare,,FALSE,D,M,Poonawalla,Cyrus,,04-04-2023 05:01,India,,,1941,5,11,180.44,7.7,"$2,611,000,000,000 ",28.1,113,69.4,11.2,49.7,1366417754,20.593684,78.96288
69,22400,Telecom,Masayoshi Son,Japan,Tokyo,"Internet, telecom",Telecom,SoftBank Group Corp.,TRUE,U,M,Son,Masayoshi,CEO,04-04-2023 05:01,Japan,,,1957,8,11,105.48,0.5,"$5,081,769,542,380 ",63.2,98.8,84.2,11.9,46.7,126226568,36.204824,138.252924
70,22100,Metals & Mining,Vladimir Lisin,Russia,Moscow,"Steel, transport",Metals & Mining,,TRUE,U,M,Lisin,Vladimir,,04-04-2023 05:01,Russia,,,1956,5,7,180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,11.4,46.2,144373535,61.52401,105.318756
71,22000,Food & Beverage,Emmanuel Besnier,France,Laval,Cheese,Food & Beverage,,FALSE,D,M,Besnier,Emmanuel,,04-04-2023 05:01,France,,,1970,9,18,110.05,1.1,"$2,715,518,274,227 ",65.6,102.5,82.5,24.2,60.7,67059887,46.227638,2.213749
72,21600,Finance & Investments,Abigail Johnson,United States,Milton,Fidelity,Finance & Investments,Fidelity Investments,FALSE,U,F,Johnson,Abigail,CEO,04-04-2023 05:01,United States,Massachusetts,Northeast,1961,12,19,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
72,21600,Energy,Leonid Mikhelson & family,Russia,Moscow,"Gas, chemicals",Energy,,TRUE,U,M,Mikhelson,Leonid,,04-04-2023 05:01,Russia,,,1955,8,11,180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,11.4,46.2,144373535,61.52401,105.318756
74,21200,Fashion & Retail,Lukas Walton,United States,Chicago,Walmart,Fashion & Retail,,FALSE,U,M,Walton,Lukas,,04-04-2023 05:01,United States,Illinois,Midwest,1986,9,19,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
74,21200,Service,Wang Wei,China,Shenzhen,Package delivery,Service,,TRUE,D,M,Wang,Wei,,04-04-2023 05:01,China,,,1970,10,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
76,21100,Technology,Jensen Huang,United States,Los Altos,Semiconductors,Technology,Nvidia,TRUE,U,M,Huang,Jensen,CEO & President,04-04-2023 05:01,United States,California,West,1963,2,17,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
77,21000,Fashion & Retail,Leonard Lauder,United States,New York,Estee Lauder,Fashion & Retail,The Estée Lauder Companies,FALSE,D,M,Lauder,Leonard,Chairman Emeritus,04-04-2023 05:01,United States,New York,Northeast,1933,3,19,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
77,21000,Manufacturing,Takemitsu Takizaki,Japan,Osaka,Sensors,Manufacturing,,TRUE,D,M,Takizaki,Takemitsu,,04-04-2023 05:01,Japan,,,1945,6,10,105.48,0.5,"$5,081,769,542,380 ",63.2,98.8,84.2,11.9,46.7,126226568,36.204824,138.252924
79,20900,Metals & Mining,Alexey Mordashov & family,Russia,Moscow,"Steel, investments",Metals & Mining,,TRUE,U,M,Mordashov,Alexey,,04-04-2023 05:01,Russia,,,1965,9,26,180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,11.4,46.2,144373535,61.52401,105.318756
80,20500,Energy,Vagit Alekperov,Russia,Moscow,Oil,Energy,,TRUE,U,M,Alekperov,Vagit,,04-04-2023 05:01,Russia,,,1950,9,1,180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,11.4,46.2,144373535,61.52401,105.318756
81,20200,Healthcare,"Thomas Frist, Jr. & family",United States,Nashville,Hospitals,Healthcare,,TRUE,D,M,Frist,Thomas,,04-04-2023 05:01,United States,Tennessee,South,1938,8,12,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
82,19600,Metals & Mining,Andrew Forrest,Australia,Perth,Mining,Metals & Mining,,TRUE,U,M,Forrest,Andrew,,04-04-2023 05:01,Australia,,,1961,11,18,119.8,1.6,"$1,392,680,589,329 ",113.1,100.3,82.7,23,47.4,25766605,-25.274398,133.775136
83,19100,Finance & Investments,Ray Dalio,United States,Greenwich,Hedge funds,Finance & Investments,Bridgewater Associates,TRUE,D,M,Dalio,Ray,Founder & Co-Chief Investment Officer,04-04-2023 05:01,United States,Connecticut,Northeast,1949,8,8,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
84,19000,Automotive,Eric Li,China,Hangzhou,Automobiles,Automotive,,TRUE,D,M,Li,Eric,,04-04-2023 05:01,China,,,1963,6,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
84,19000,Metals & Mining,Wang Wenyin,China,Shenzhen,"Mining, copper products",Metals & Mining,,TRUE,U,M,Wang,Wenyin,,04-04-2023 05:01,China,,,1968,3,1,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
86,18900,Diversified,Eyal Ofer,Monaco,Monte Carlo,"Real estate, shipping",Diversified,,FALSE,U,M,Ofer,Eyal,,04-04-2023 05:01,Israel,,,1950,6,2,,,"$7,184,844,193 ",,,,,,38964,43.7384176,7.4246158
86,18900,Food & Beverage,Qin Yinglin,China,Nanyang,Pig breeding,Food & Beverage,,TRUE,D,M,Qin,Yinglin,,04-04-2023 05:01,China,,,1965,4,17,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
88,18700,Automotive,Wang Chuanfu,China,Shenzhen,"Batteries, automobiles",Automotive,,TRUE,D,M,Wang,Chuanfu,,04-04-2023 05:01,China,,,1966,2,15,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000,35.86166,104.195397
89,18500,Energy,Harold Hamm & family,United States,Oklahoma City,Oil & gas,Energy,Continental Resources Inc. ,TRUE,U,M,Hamm,Harold,Chairman and CEO,04-04-2023 05:01,United States,Oklahoma,South,1945,12,11,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
89,18500,Finance & Investments,David Tepper,United States,Palm Beach,Hedge funds,Finance & Investments,Appaloosa Management,TRUE,U,M,Tepper,David,President and Founder,04-04-2023 05:01,United States,Florida,South,1957,9,11,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
